metric,pool_avg,pool_n,Premier League_avg,La Liga_avg,Serie A_avg,Bundesliga_avg,Ligue 1_avg,Premier League_n,La Liga_n,Serie A_n,Bundesliga_n,Ligue 1_n,martim_neto
special_cross,3.9191,470,5.5444,3.9406,3.581,4.2338,2.5052,90,101,105,77,97,8
special_cross_p90,0.198,470,0.2294,0.1862,0.1855,0.2359,0.1646,90,101,105,77,97,0.5325443786982249
special_diagonal_long,2.966,470,3.1556,2.9406,2.981,3.0779,2.7113,90,101,105,77,97,0
special_diagonal_long_p90,0.1584,470,0.1402,0.1571,0.165,0.153,0.174,90,101,105,77,97,0.0
special_final_third,255.8128,470,305.9889,260.0099,244.6667,257.4675,215.6392,90,101,105,77,97,274
special_final_third_p90,13.961,470,14.2425,14.4246,12.736,14.1416,14.3997,90,101,105,77,97,18.239644970414204
special_from_deep,1.8149,470,2.2778,1.4851,1.8762,1.9351,1.567,90,101,105,77,97,0
special_from_deep_p90,0.0942,470,0.1006,0.0764,0.0956,0.0964,0.1036,90,101,105,77,97,0.0
special_in_box,17.6085,470,23.0333,15.6535,16.1524,20.1169,14.1959,90,101,105,77,97,22
special_in_box_p90,0.9312,470,1.0144,0.8123,0.8391,1.1001,0.9437,90,101,105,77,97,1.4644970414201186
special_inversion,2.9915,470,3.2556,2.9901,2.9333,2.8052,2.9588,90,101,105,77,97,2
special_inversion_p90,0.1512,470,0.137,0.1607,0.143,0.1336,0.1774,90,101,105,77,97,0.13313609467455623
special_line_break,33.4191,470,36.9,33.6733,34.4952,35.7792,26.8866,90,101,105,77,97,33
special_line_break_p90,1.7721,470,1.7146,1.8024,1.725,1.8271,1.8012,90,101,105,77,97,2.196745562130178
special_progressive,79.6787,470,91.1778,79.1782,79.8571,84.7532,65.3093,90,101,105,77,97,53
special_progressive_p90,4.1931,470,4.1514,4.164,4.064,4.3152,4.3051,90,101,105,77,97,3.52810650887574
sum_dxt_passes,12.5861,477,13.9322,13.566,13.154,12.3018,9.9206,90,103,108,78,98,3.044
sum_xt_end_passes,327.9617,477,386.6428,327.3698,315.6941,332.2922,284.7658,90,103,108,78,98,259.819
team_long_balls_per_game,49.2699,310,45.2508,49.4347,50.3966,51.1354,50.6987,66,70,64,56,54,48.21
team_passes_per_game,378.5037,310,371.2939,367.7599,374.4275,383.0048,401.4061,66,70,64,56,54,430.55
test_impact_v2_attempt_coe_pct,-0.1311,470,0.0378,0.1624,-1.9724,-0.6519,1.8134,90,101,105,77,97,7.7
test_impact_v2_attempt_completion_pct,44.3417,470,44.4267,44.8644,42.1838,43.3416,46.8485,90,101,105,77,97,55.7
test_impact_v2_attempts,97.5426,470,112.4222,92.3069,98.419,108.6234,79.4433,90,101,105,77,97,61
test_impact_v2_count,23.5362,470,26.5889,22.2079,24.2286,24.8701,20.2784,90,101,105,77,97,21
test_impact_v2_p90,1.2666,470,1.2269,1.2083,1.2451,1.2836,1.3741,90,101,105,77,97,1.3979289940828403
